Mods count: 747
 
jar name                                                                            | mod id (isMCreator)                            | mixin configs
    /META-INF/jarjar/conditional-mixin-forge-0.6.4.jar                              | conditional_mixin                              | 
CreateNumismatics-1.0.15+forge-mc1.20.1.jar                                         | numismatics                                    | numismatics.mixins.json, numismatics-common.mixins.json
createoreexcavation-1.20-1.6.5.jar                                                  | createoreexcavation                            | 
createsifter-1.20.1-1.8.6-6.0.6.jar                                                 | createsifter                                   | createsifter.mixins.json
createstockbridge-1.20-0.1.5.jar                                                    | createstockbridge                              | csb.mixins.json, csb.mixins.refmap.json
createultimine-1.20.1-forge-1.1.2.jar                                               | createultimine                                 | mixins.createultimine.refmap.json, mixins.createultimine.json
CreativeCore_FORGE_v2.12.32_mc1.20.1.jar                                            | creativecore                                   | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json
creeperoverhaul-3.0.2-forge.jar                                                     | creeperoverhaul                                | creeperoverhaul-common.mixins.json
    /META-INF/jars/resourcefullib-forge-1.20.1-2.1.20.jar                           | resourcefullib                                 | 
        /META-INF/jars/yabn-1.0.3.jar                                               | com_teamresourceful_yabn                       | 
        /META-INF/jars/bytecodecs-1.0.2.jar                                         | com_teamresourceful_bytecodecs                 | 
cristellib-1.1.6-forge.jar                                                          | cristellib                                     | cristellib.mixins.json, cristellib-common.mixins.json
    /META-INF/jars/jankson-1.2.3.jar                                                |                                                | 
Croptopia-1.20.1-FORGE-3.0.4.jar                                                    | croptopia                                      | croptopia.mixins.json
croptopiadelight-1.3.2.jar                                                          | croptopiadelight                               | 
CTM-1.20.1-1.1.10.jar                                                               | ctm                                            | ctm.mixins.json, mixin.refmap.json
Cucumber-1.20.1-7.0.16.jar                                                          | cucumber                                       | cucumber.mixins.json
cumulus_menus-1.20.1-1.0.1-neoforge.jar                                             | cumulus_menus                                  | cumulus_menus.mixins.json
cupboard-1.20.1-2.7.jar                                                             | cupboard                                       | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                      | curios                                         | curios.mixins.json
CyclopsCore-1.20.1-1.21.3.jar                                                       | cyclopscore                                    | 
dankstorage-forge-1.20.1-15.jar                                                     | dankstorage                                    | dankstorage.forge.mixins.json, dankstorage.mixins.json
DarkModeEverywhere-1.20.1-1.2.4.jar                                                 | darkmodeeverywhere                             | darkmodeeverywhere.mixins.json
DarkPaintings-Forge-1.20.1-17.0.5.jar                                               | darkpaintings                                  | 
DarkUtilities-Forge-1.20.1-17.0.5.jar                                               | darkutils                                      | darkutils.mixins.json
deeperdarker-forge-1.20.1-1.3.3.jar                                                 | deeperdarker                                   | mixins.deeperdarker.json, mixins.deeperdarker.refmap.json
deepresonance-1.20-5.0.5.jar                                                        | deepresonance                                  | 
dew_drop_watering_cans-1.0.2.jar                                                    | dew_drop_watering_cans                         | 
DiagonalFences-v8.1.5-1.20.1-Forge.jar                                              | diagonalfences                                 | 
    /META-INF/jarjar/diagonalblocks-forge-8.0.6.jar                                 | diagonalblocks                                 | diagonalblocks.common.mixins.json
DiagonalWalls-v8.0.4-1.20.1-Forge.jar                                               | diagonalwalls                                  | 
    /META-INF/jarjar/diagonalblocks-forge-8.0.6.jar                                 | diagonalblocks                                 | diagonalblocks.common.mixins.json
DiagonalWindows-v8.1.5-1.20.1-Forge.jar                                             | diagonalwindows                                | 
    /META-INF/jarjar/diagonalblocks-forge-8.0.6.jar                                 | diagonalblocks                                 | diagonalblocks.common.mixins.json
